Item,English Text,Proposed French Translation
"Fabric Side Rails – description","Full-length mesh side rails with integrated padding are designed to create a safer environment for the bed user.","Barrières latérales en filet sur toute la longueur du lit, avec rembourrage intégré, conçues pour un environnement plus sûr pour l'utilisateur."
"Folding Side Rails – description","Folding side rails intended to help to create a safer environment for the bed user.","Barrières latérales escamotables destinées à contribuer à un environnement plus sûr pour l'utilisateur du lit."
"Bed Lever – description","The bed lever securely fixes to either side of the bed frame providing support for bed mobility and transfers.","La barre d'appui se fixe solidement de chaque côté du cadre de lit et facilite les déplacements et transferts."
"Lifting Pole – description","The lifting pole can be used by individuals to help with bed mobility.","La potence peut être utilisée pour faciliter les déplacements dans le lit."
"High Safety Mat – description","Even-plane safety mat providing an extended surface for individuals who are prone to falling out of bed.","Tapis de sécurité à surface plane offrant une zone étendue pour les personnes susceptibles de tomber du lit."
"Length Extension – description","Allows the bed to be extended by 200 mm length to accommodate taller individuals.","Permet d'allonger le lit de 200 mm pour s'adapter aux personnes de grande taille."
"Folding Bed Lever – description","The bed lever securely attaches to either side of the bed frame, providing support for bed mobility and transfers. It can be folded away when not in use.","La barre d'appui se fixe solidement de chaque côté du cadre de lit et facilite les déplacements et transferts. Elle peut être repliée lorsqu'elle n'est pas utilisée."
"Accessory tile link","Learn more","En savoir plus"
"Quote modal – thank-you title","Thank you for your request","Merci pour votre demande"
"Quote modal – back-to-homepage link","Go back to homepage","Retour à l'accueil"
"Quote modal – close link","Close this form","Fermer ce formulaire"
"Quote modal – confirmation icon alt text","Ok","Confirmé"
"Long bed lever exception message","Not available with side panel","Non disponible avec longs pans"
"Accessory summary label","ProTect side rail","Barrière latérale ProTect"
"Accessory summary label","Folding side rails with bumper","Barrière ¾ escamotables avec pare-chocs"
"Accessory summary label","Width adjustment kit","Kit d'élargissement"
"Accessory summary label","Bed wall bumper","Butoir de lit"
"Footer fallback link","Book a demo","Réserver une démonstration"
"Fabric swatch name","Silver","Argent"
"Fabric swatch name","Hessian","Toile de jute"
"Fabric swatch name","Steel","Acier"
"Fabric swatch name","Dove","Gris tourterelle"
"Fabric swatch name","Chablis","Chablis"
"Fabric swatch name","Sky","Ciel"
"Fabric swatch name","Ocean","Océan"
"Fabric swatch name","Fern Green","Vert fougère"
"Fabric swatch name","Lilac","Lilas"
"Fabric swatch name","Cyclamen","Cyclamen"
"Fabric swatch name","Royal","Bleu roi"
"Fabric swatch name","Teal","Bleu canard"
"Fabric swatch name","Peony","Pivoine"
"Fabric swatch name","Gold","Or"
"Fabric swatch name","Fig","Figue"
"Fabric swatch name","Mushroom","Taupe"
"Fabric swatch name","Pebble Tones","Tons galets"
"Wood finish name (unused)","Grey Beige Tossini Elm","Orme Tossini gris beige"
"Wood finish name (unused)","Brown Tossini Elm","Orme Tossini brun"
